epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,89.9214,0.61134,0.41274,0.85766,0.95275,0.98148,0.99266,0.90012,0.56293,0.39116,0.81279,0.000539275,0.000539275,0.000539275
43,91.3513,0.59647,0.38388,0.84087,0.9657,0.98148,0.99306,0.90553,0.57127,0.37647,0.81625,0.000511769,0.000511769,0.000511769
44,92.7458,0.55667,0.38036,0.83798,0.96614,0.98148,0.99306,0.90174,0.5497,0.35805,0.81409,0.000484263,0.000484263,0.000484263
45,94.1322,0.55359,0.38415,0.84224,0.96614,0.98148,0.99306,0.90174,0.5497,0.35805,0.81409,0.000456758,0.000456758,0.000456758
46,95.5527,0.57203,0.39236,0.83814,0.96271,0.98148,0.9935,0.89536,0.54217,0.33231,0.80899,0.000429253,0.000429253,0.000429253
47,96.9398,0.54786,0.38067,0.85864,0.95343,0.98148,0.99446,0.90254,0.54038,0.32456,0.80928,0.000401747,0.000401747,0.000401747
48,98.4169,0.55307,0.3646,0.83409,0.95653,0.98148,0.99446,0.89225,0.57567,0.31777,0.81409,0.000374242,0.000374242,0.000374242
49,100.395,0.51978,0.35859,0.82836,0.95653,0.98148,0.99446,0.89225,0.57567,0.31777,0.81409,0.000346736,0.000346736,0.000346736
50,102.189,0.54874,0.38654,0.84293,0.9631,0.98148,0.99446,0.89023,0.58231,0.31475,0.81598,0.000319231,0.000319231,0.000319231
51,105.602,0.5063,0.35736,0.82877,0.97064,0.98148,0.99446,0.92784,0.5529,0.32062,0.80935,0.000291725,0.000291725,0.000291725
52,108.162,0.51481,0.35447,0.83324,0.97574,0.98238,0.995,0.89305,0.56333,0.324,0.80966,0.00026422,0.00026422,0.00026422
53,109.593,0.4679,0.32611,0.8103,0.97574,0.98238,0.995,0.89305,0.56333,0.324,0.80966,0.000236714,0.000236714,0.000236714
54,110.967,0.47114,0.33016,0.81382,0.97925,0.98253,0.995,0.89338,0.56209,0.32349,0.80949,0.000209209,0.000209209,0.000209209
55,112.616,0.47332,0.32713,0.80106,0.9779,0.98306,0.995,0.897,0.53289,0.30943,0.80889,0.000181703,0.000181703,0.000181703
56,114.642,0.46163,0.32132,0.80366,0.97456,0.9836,0.995,0.8962,0.51559,0.29307,0.80978,0.000154198,0.000154198,0.000154198
57,116.157,0.44093,0.32221,0.80551,0.97456,0.9836,0.995,0.8962,0.51559,0.29307,0.80978,0.000126692,0.000126692,0.000126692
58,117.573,0.44072,0.31263,0.78476,0.97325,0.9841,0.995,0.89624,0.51582,0.27994,0.81005,9.91865e-05,9.91865e-05,9.91865e-05
59,118.932,0.44193,0.30912,0.80891,0.97354,0.98465,0.995,0.8934,0.51419,0.28181,0.81057,7.1681e-05,7.1681e-05,7.1681e-05
60,120.33,0.46523,0.33307,0.79585,0.97399,0.985,0.995,0.89705,0.51245,0.27264,0.81051,4.41755e-05,4.41755e-05,4.41755e-05
