epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,88.9784,0.64894,0.42241,0.86983,1,0.93102,0.95024,0.76916,0.80093,0.57072,0.99051,0.000614,0.000614,0.000614
44,90.3409,0.71519,0.48443,0.91811,1,0.92413,0.95184,0.76819,0.77489,0.55478,0.98112,0.000581,0.000581,0.000581
45,91.6077,0.65306,0.4275,0.89561,1,0.92413,0.95184,0.76819,0.77489,0.55478,0.98112,0.000548,0.000548,0.000548
46,92.9815,0.62278,0.4022,0.9024,1,0.92803,0.95459,0.75704,0.77356,0.54911,0.97973,0.000515,0.000515,0.000515
47,94.2739,0.60757,0.41067,0.92688,1,0.93226,0.95786,0.76183,0.81839,0.53442,0.9984,0.000482,0.000482,0.000482
48,95.5891,0.56898,0.3889,0.88931,1,0.93463,0.96095,0.7724,0.81152,0.49407,0.99813,0.000449,0.000449,0.000449
49,96.9553,0.60719,0.40092,0.87452,1,0.93463,0.96095,0.7724,0.81152,0.49407,0.99813,0.000416,0.000416,0.000416
50,98.4073,0.56589,0.38099,0.87866,1,0.93402,0.96409,0.77283,0.7875,0.49436,0.99376,0.000383,0.000383,0.000383
51,102.07,0.59296,0.3861,0.91492,1,0.93402,0.96929,0.78448,0.77736,0.48517,0.9903,0.00035,0.00035,0.00035
52,104.177,0.5704,0.40307,0.88126,1,0.93339,0.96929,0.78544,0.78053,0.49258,0.99126,0.000317,0.000317,0.000317
53,105.49,0.59019,0.39224,0.89374,1,0.93339,0.96929,0.78544,0.78053,0.49258,0.99126,0.000284,0.000284,0.000284
54,106.894,0.54483,0.36246,0.86451,1,0.93302,0.96929,0.79059,0.79421,0.5033,0.99493,0.000251,0.000251,0.000251
55,108.266,0.546,0.35942,0.88659,0.99801,0.9375,0.97192,0.77396,0.79658,0.50156,0.99568,0.000218,0.000218,0.000218
56,109.565,0.58825,0.37063,0.88186,0.99805,0.9375,0.97056,0.80053,0.76669,0.4801,0.98579,0.000185,0.000185,0.000185
57,110.992,0.51387,0.34452,0.85963,0.99805,0.9375,0.97056,0.80053,0.76669,0.4801,0.98579,0.000152,0.000152,0.000152
58,112.745,0.52436,0.34893,0.85974,0.9979,0.9375,0.9734,0.79136,0.74845,0.45937,0.98036,0.000119,0.000119,0.000119
59,114.545,0.52873,0.3468,0.85402,0.99713,0.9375,0.97192,0.80854,0.73824,0.44203,0.97942,8.6e-05,8.6e-05,8.6e-05
60,116.002,0.53954,0.35761,0.86961,0.99612,0.9375,0.97192,0.80662,0.73918,0.44177,0.98123,5.3e-05,5.3e-05,5.3e-05
